Validator,PT_VERSION,2.7.1
Validator,ROCM_VERSION,6.4.1.0-83-69b59e5
Validator,HIPBLASLT_VERSION,1201-4d62e135
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.4.0.80e5394d
GemmStridedBatchedTunableOp_Half_NN,nn_128_1280_1280_B_24_ld_21504_1280_128,Gemm_Rocblas_1140851312,0.128796
GemmStridedBatchedTunableOp_Half_NN,nn_128_1280_1280_B_24_ld_128_1280_128,Gemm_Rocblas_1140851332,0.111365
GemmStridedBatchedTunableOp_Half_TN,tn_1280_1280_128_B_24_ld_3072_3072_1280,Gemm_Rocblas_1140850891,0.269297
GemmStridedBatchedTunableOp_Half_TN,tn_1280_1280_128_B_24_ld_128_128_1280,Default,0.118308
GemmTunableOp_Half_TN,tn_21504_1280_3072_ld_3072_3072_21504,Gemm_Rocblas_1140850957,1.9774
GemmTunableOp_Half_TN,tn_9216_1_3072_ld_3072_3072_9216,Gemm_Rocblas_1140850917,0.0381674
GemmTunableOp_Half_TN,tn_3072_256_12288_ld_12288_12288_3072,Default,0.222094
GemmTunableOp_Half_TN,tn_3072_1024_128_ld_128_128_3072,Gemm_Rocblas_1140850856,0.0170745
GemmTunableOp_Half_TN,tn_12288_256_3072_ld_3072_3072_12288,Gemm_Rocblas_1140850882,0.211944
GemmTunableOp_Half_TN,tn_3072_1280_15360_ld_15360_15360_3072,Gemm_Rocblas_1140850943,1.48446
GemmTunableOp_Half_TN,tn_3072_1_3072_ld_3072_3072_3072,Gemm_Rocblas_1140850930,0.0223105
GemmTunableOp_Half_TN,tn_6144_1_3072_ld_3072_3072_6144,Gemm_Rocblas_1140850930,0.0275181
GemmTunableOp_Half_TN,tn_3072_1_768_ld_768_768_3072,Gemm_Rocblas_1140850934,0.0111913
GemmTunableOp_Half_TN,tn_12288_1024_3072_ld_3072_3072_12288,Gemm_Rocblas_1140850957,0.894332
GemmTunableOp_Half_TN,tn_3072_1_256_ld_256_256_3072,Gemm_Rocblas_1140850931,0.00873048
GemmTunableOp_Half_TN,tn_3072_1024_12288_ld_12288_12288_3072,Gemm_Rocblas_1140850867,0.824983
GemmTunableOp_Half_TN,tn_3072_256_4096_ld_4096_4096_3072,Gemm_Rocblas_1140850963,0.0676229
GemmTunableOp_Half_TN,tn_18432_1_3072_ld_3072_3072_18432,Gemm_Rocblas_1140850832,0.106561
GemmTunableOp_Half_TN,tn_9216_1024_3072_ld_3072_3072_9216,Gemm_Rocblas_1140850962,0.643537
GemmTunableOp_Half_TN,tn_9216_256_3072_ld_3072_3072_9216,Gemm_Rocblas_1140850883,0.149116
GemmTunableOp_Half_TN,tn_3072_1024_3072_ld_3072_3072_3072,Gemm_Rocblas_1140850866,0.198006
GemmTunableOp_Half_TN,tn_64_1024_3072_ld_3072_3072_64,Gemm_Rocblas_1140850911,0.0225804
GemmTunableOp_Half_TN,tn_3072_256_3072_ld_3072_3072_3072,Gemm_Rocblas_1140850948,0.058152
GemmTunableOp_BFloat16_TN,tn_1024_512_1024_ld_1024_1024_1024,Gemm_Rocblas_1140854672,0.0181382
GemmTunableOp_BFloat16_TN,tn_2048_512_2048_ld_2048_2048_2048,Gemm_Rocblas_1140854674,0.0559128
GemmTunableOp_BFloat16_TN,tn_4096_512_4096_ld_4096_4096_4096,Gemm_Rocblas_1140854610,0.186911
GemmTunableOp_BFloat16_NT,nt_1024_1024_512_ld_1024_1024_1024,Gemm_Rocblas_1140851973,0.0237182
GemmTunableOp_BFloat16_NT,nt_2048_2048_512_ld_2048_2048_2048,Gemm_Rocblas_1140852000,0.0561032
GemmTunableOp_BFloat16_NT,nt_4096_4096_512_ld_4096_4096_4096,Gemm_Rocblas_1140852012,0.166306
